sku,name,brand,category,unit_price,description
RHINO-A51,Fresadora RHINO A51 Seco,Rhino,Fresadoras,353970,"5 ejes en seco, JAEGER, PANASONIC, cambiador automático."
RHINO-A52,Fresadora RHINO A52 Seco,Rhino,Fresadoras,369360,"5 ejes seco, PC táctil 12"", spindle 820W, C-Clamp 12 fresas."
RHINO-A52W,Fresadora RHINO A52W Húmedo-Seco,Rhino,Fresadoras,415530,"5 ejes híbrida, depósito de agua, PC táctil, spindle 820W."
COR-150I-PRO,CORiTEC 150i Touch PRO Húmedo-Seco,imes-icore,Fresadoras,569666,"5 ejes, 100k rpm, PC integrado, Smart Control."
COR-150I-DRY,CORiTEC 150i Touch Seco,imes-icore,Fresadoras,486655,"5 ejes en seco, 100k rpm, PC integrado."
COR-250I-PRO+,CORiTEC 250i PRO PLUS Húmedo/Seco,imes-icore,Fresadoras,759555,"Húmedo y seco, 1.0 kW, 60k rpm, ionizador, cámara HD, autocalibración."
COR-350I-PRO,CORiTEC 350i PRO (CoCr/Ti),imes-icore,Fresadoras,1139563,"5 ejes, húmedo-seco, 60k rpm, cambio 20 herramientas."
COR-350I-PRO+,CORiTEC 350i PRO+ PLUS,imes-icore,Fresadoras,1279453,"2.6 kW, 60k rpm, base de hormigón polímero, 24/7, zero-point."
COR-350I-LOADER,CORiTEC 350i PRO LOADER,imes-icore,Fresadoras,1365539,"5 ejes con cargador automático, 60k rpm."
COR-ONEPLUS,CORiTEC ONE+ plus,imes-icore,Fresadoras,618513,"5 ejes, húmedo integrado, premoldeados Ti/CoCr, 100k rpm."
SCAN-T310,Scanner Identica T310,Medit,Escáneres,95700,"2 cámaras 5MP, 9µm, USB 3.0."
SCAN-T510,Scanner Identica T510,Medit,Escáneres,133650,"2 cámaras 5MP, 7µm, 12s arcada."
SCAN-T710,Scanner Identica T710,Medit,Escáneres,207900,"4 cámaras 5MP, 4µm, 8s arcada."
MEDIT-I700,Medit i700 (Intraoral),Medit,Escáneres intraorales,232320,"Hasta 70 FPS, 10.9µm arco completo."
OVO-3DISC,Scanner 3 DISC OVO (Intraoral),3DISC,Escáneres intraorales,125776,"12–20µm, 150g, punta 360°, STL/OBJ/PLY."
NEXD-5100,NextDent 5100 3D Printer,NextDent,Impresoras 3D,196551,"DLP 405nm, Figure 4, alta velocidad."
SOFT-HDEXP-MXN,hyperDENT Express,hyperDENT,Software,66602,CAM dental (MXN).
SOFT-ICAM-ECO,iCAM V5 smart eco,imes-icore,Software,109452,"CAM abierto, 5 ejes."
VAC-R412,Unidad de Succión R412 Rhino,Rhino,Accesorios,18468,"Compacta, <65dB, motor sin escobillas."
VAC-IVAC,Unidad de Succión iVAC Silence,imes-icore,Accesorios,32497,"Compacta, silenciosa, HEPA."
HORN-GT1,Horno de Sinterizado Zirconia GT1,Rhino,Hornos,97812,"SiC, LCD, monitoreo en tiempo real."
HORN-KDF,Horno de Sinterizado KDF Zircom/Speed,Rhino,Hornos,222750,"Hasta 1600°C, MoSi2, LCD 3.5""."
